Violet 1,Violet 2,Violet 3,Violet 4,Violet 5,Violet 6,Violet 7,Violet 8,Violet 9,Violet 10,Violet 11,Violet 12,Violet 13,Violet 14,Violet 15,Violet 16,Violet 17,Violet 18,Violet 19,Violet 20,Blue 1,Blue 2,Blue 3,Blue 4,Blue 5,Blue 6,Blue 7,Blue 8,Blue 9,Blue 10,Blue 11,Blue 12,Blue 13,Blue 14,Blue 15,Blue 16,Blue 17,Blue 18,Blue 19,Blue 20,green 1,green 2,green 3,green 4,green 5,green 6,green 7,green 8,green 9,green 10,green 11,green 12,green 13,green 14,green 15,green 16,green 17,green 18,green 19,green 20,yellow 1,yellow 2,yellow 3,yellow 4,yellow 5,yellow 6,yellow 7,yellow 8,yellow 9,yellow 10,yellow 11,yellow 12,yellow 13,yellow 14,yellow 15,yellow 16,yellow 17,yellow 18,yellow 19,yellow 20,orange 1,orange 2,orange 3,orange 4,orange 5,orange 6,orange 7,orange 8,orange 9,orange 10,orange 11,orange 12,orange 13,orange 14,orange 15,orange 16,orange 17,orange 18,orange 19,orange 20,red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20,real
258.67,250.94,247.62,246.51,242.09,237.67,240.99,238.78,238.78,238.78,234.35,234.35,235.46,233.25,229.93,232.14,227.72,224.41,226.62,223.3,185.63,181.62,178.95,177.61,174.94,172.27,173.61,173.61,173.61,173.61,170.94,169.6,170.94,169.6,166.93,168.27,165.59,162.92,164.26,162.92,168.4,165.2,163.07,162,162,157.74,158.8,160.94,158.8,158.8,156.67,156.67,155.61,155.61,153.47,152.41,151.34,149.21,149.21,148.15,197.66,192.84,190.91,189.95,189.95,185.13,186.09,188.98,187.05,186.09,184.16,184.16,183.2,183.2,181.27,179.34,178.38,175.48,176.45,175.48,130.41,127.35,127.35,127.35,127.35,124.29,125.31,126.33,125.31,125.31,124.29,124.29,123.27,124.29,122.26,121.24,120.22,119.2,119.2,118.18,86.07,83.35,84.25,84.25,84.25,82.44,82.44,83.35,82.44,82.44,81.54,81.54,80.63,80.63,79.72,79.72,78.82,77.91,77.91,77.91,7.5
153.66,153.66,148.13,145.92,149.24,196.77,168.03,152.55,201.19,195.66,246.51,190.14,183.5,179.08,176.87,172.45,174.66,171.34,166.92,164.71,106.84,105.5,102.83,101.49,104.16,138.89,117.52,105.5,140.22,141.56,160.25,133.54,134.88,130.87,129.54,126.87,129.54,126.87,124.2,121.53,108.71,104.45,99.12,99.12,108.71,118.3,116.17,135.36,134.29,123.63,183.32,131.09,122.57,118.3,117.24,116.17,116.17,111.91,109.78,108.71,123.42,118.6,112.81,112.81,123.42,140.77,131.13,150.41,155.24,150.41,203.45,152.34,144.63,139.81,138.84,137.88,138.84,134.02,132.09,130.17,85.58,83.54,79.47,79.47,87.62,94.75,93.73,106.97,107.99,98.82,143.65,103.92,96.79,94.75,93.73,92.71,92.71,89.65,88.64,87.62,51.64,50.73,48.92,48.92,52.55,64.32,54.36,58.89,66.14,67.95,77.01,66.14,63.42,62.51,61.61,61.61,61.61,60.7,59.79,58.89,4.7
87.33,75.17,84.01,85.12,79.59,76.28,78.49,93.96,92.86,92.86,95.07,96.17,97.28,99.49,101.7,103.91,103.91,103.91,103.91,105.02,64.1,56.09,61.43,64.1,60.09,57.42,60.09,70.78,70.78,70.78,72.11,73.45,74.78,76.12,77.46,80.13,78.79,80.13,80.13,81.46,52.22,50.09,57.55,54.36,53.29,50.09,58.62,61.82,61.82,62.88,62.88,63.95,65.01,67.15,68.21,69.28,68.21,69.28,69.28,70.34,61.71,58.82,68.46,64.6,62.67,59.78,70.39,74.24,74.24,75.21,76.17,77.14,78.1,80.99,81.96,83.89,82.92,83.89,83.89,84.85,40.75,38.71,45.85,43.81,41.77,39.73,46.86,48.9,48.9,49.92,50.94,50.94,51.96,54,54,55.02,55.02,55.02,55.02,56.03,28.08,27.18,31.71,29.9,28.99,28.08,32.61,33.52,34.43,34.43,35.33,35.33,36.24,37.14,38.05,38.05,38.05,38.05,38.05,38.96,4.9
194.56,186.82,187.93,183.5,186.82,182.4,179.08,176.87,175.77,173.56,173.56,172.45,172.45,171.34,172.45,174.66,172.45,172.45,173.56,173.56,142.89,137.55,137.55,134.88,137.55,134.88,132.21,130.87,129.54,128.2,128.2,126.87,126.87,126.87,128.2,129.54,128.2,128.2,129.54,129.54,118.3,116.17,117.24,116.17,116.17,114.04,112.97,111.91,110.84,109.78,109.78,108.71,108.71,108.71,107.65,108.71,108.71,109.78,110.84,109.78,144.63,141.74,142.7,140.77,141.74,140.77,137.88,137.88,135.95,134.02,134.02,134.02,134.02,133.06,133.06,134.02,134.02,134.02,135.95,135.95,93.73,93.73,94.75,93.73,93.73,92.71,91.69,90.67,89.65,88.64,88.64,88.64,88.64,88.64,87.62,88.64,88.64,88.64,89.65,89.65,67.95,67.95,67.95,67.04,67.04,66.14,65.23,65.23,64.32,63.42,63.42,62.51,63.42,62.51,62.51,62.51,63.42,63.42,64.32,64.32,5.8
148.13,153.66,154.76,153.66,152.55,151.45,151.45,150.34,150.34,151.45,150.34,150.34,149.24,148.13,148.13,148.13,147.02,147.02,148.13,147.02,104.16,108.17,109.51,108.17,108.17,106.84,108.17,106.84,106.84,108.17,106.84,106.84,105.5,105.5,105.5,105.5,105.5,105.5,105.5,104.16,94.86,102.32,101.25,100.19,100.19,99.12,100.19,99.12,101.25,100.19,100.19,99.12,99.12,99.12,98.05,99.12,98.05,98.05,98.05,98.05,108.95,117.63,116.67,115.7,116.67,115.7,115.7,114.74,117.63,115.7,115.7,114.74,114.74,114.74,113.78,114.74,113.78,113.78,113.78,113.78,74.37,81.5,80.49,80.49,80.49,79.47,80.49,79.47,81.5,79.47,79.47,79.47,79.47,79.47,78.45,79.47,78.45,78.45,78.45,78.45,49.83,55.26,54.36,54.36,54.36,53.45,53.45,52.55,54.36,53.45,53.45,52.55,52.55,52.55,52.55,52.55,52.55,52.55,52.55,51.64,4.6
352.64,346.01,422.28,473.13,256.46,200.09,179.08,224.41,227.72,235.46,235.46,219.98,214.46,219.98,223.3,223.3,222.19,221.09,221.09,222.19,243.05,237.71,273.77,304.48,188.3,144.23,125.53,164.26,168.27,173.61,173.61,164.26,160.25,164.26,165.59,165.59,165.59,164.26,164.26,165.59,200.37,211.03,247.27,234.48,148.15,142.82,128.96,156.67,157.74,159.87,157.74,156.67,147.08,150.28,152.41,152.41,151.34,151.34,151.34,151.34,254.55,267.08,323.97,301.79,168.73,161.02,143.67,181.27,185.13,188.02,185.13,183.2,172.59,176.45,179.34,179.34,179.34,178.38,178.38,178.38,158.93,168.1,205.8,191.53,114.11,110.03,100.86,120.22,120.22,121.24,120.22,119.2,112.07,114.11,116.14,116.14,116.14,115.12,116.14,115.12,115.96,118.68,140.42,131.36,69.76,66.14,59.79,76.1,79.72,80.63,79.72,78.82,75.19,76.1,77.01,77.01,77.01,77.01,77.01,77.01,4.1
186.82,155.87,151.45,151.45,151.45,152.55,152.55,154.76,159.18,161.4,164.71,166.92,169.13,171.34,177.98,181.29,181.29,180.19,177.98,177.98,134.88,114.85,112.18,112.18,112.18,112.18,112.18,113.51,117.52,118.85,121.53,122.86,124.2,125.53,130.87,133.54,133.54,132.21,130.87,132.21,115.11,95.92,99.12,100.19,99.12,99.12,100.19,102.32,104.45,107.65,108.71,108.71,111.91,115.11,117.24,118.3,119.37,118.3,116.17,116.17,135.95,114.74,117.63,119.56,118.6,118.6,119.56,121.49,124.38,128.24,129.2,130.17,134.02,137.88,140.77,141.74,142.7,141.74,138.84,139.81,90.67,75.39,77.43,78.45,78.45,78.45,80.49,81.5,82.52,85.58,86.6,86.6,89.65,91.69,93.73,94.75,94.75,93.73,92.71,92.71,65.23,55.26,56.17,56.17,56.17,56.17,56.17,57.08,58.89,59.79,60.7,60.7,62.51,64.32,65.23,66.14,66.14,66.14,65.23,65.23,6.6
118.28,111.65,113.86,114.97,113.86,112.76,112.76,112.76,111.65,111.65,109.44,108.33,108.33,108.33,106.12,107.23,106.12,105.02,105.02,106.12,86.8,81.46,84.13,84.13,84.13,82.8,82.8,82.8,82.8,82.8,81.46,80.13,80.13,80.13,78.79,78.79,78.79,77.46,78.79,78.79,76.74,74.61,75.67,75.67,75.67,73.54,74.61,75.67,74.61,73.54,73.54,73.54,72.47,73.54,72.47,71.41,71.41,71.41,71.41,71.41,89.67,87.74,88.71,88.71,89.67,86.78,88.71,88.71,88.71,86.78,86.78,85.81,85.81,85.81,85.81,83.89,83.89,83.89,83.89,83.89,60.11,58.07,60.11,60.11,60.11,59.09,60.11,60.11,60.11,59.09,58.07,58.07,58.07,58.07,58.07,57.05,57.05,57.05,57.05,57.05,41.67,40.77,41.67,41.67,41.67,40.77,41.67,41.67,41.67,40.77,40.77,39.86,39.86,39.86,39.86,38.96,38.96,38.96,38.96,38.96,5.9
274.15,275.26,277.47,279.68,276.36,277.47,278.57,277.47,275.26,274.15,274.15,274.15,274.15,271.94,273.05,270.83,268.62,267.52,264.2,264.2,206.99,209.66,211,212.34,209.66,211,212.34,212.34,209.66,209.66,209.66,208.33,209.66,208.33,208.33,206.99,205.66,204.32,201.65,201.65,171.59,173.73,175.86,176.92,174.79,175.86,176.92,176.92,174.79,173.73,174.79,174.79,174.79,172.66,172.66,172.66,171.59,169.46,168.4,167.33,215.02,217.91,219.84,221.76,219.84,221.76,221.76,222.73,220.8,218.87,219.84,220.8,219.84,217.91,217.91,217.91,215.98,214.05,212.12,210.19,133.46,135.5,136.52,137.54,136.52,137.54,137.54,137.54,136.52,135.5,136.52,136.52,136.52,135.5,135.5,135.5,134.48,133.46,131.43,131.43,99.66,100.56,101.47,101.47,100.56,100.56,100.56,100.56,99.66,99.66,99.66,99.66,99.66,98.75,98.75,98.75,97.84,96.94,95.13,95.13,4.4
84.01,86.22,86.22,85.12,85.12,86.22,85.12,85.12,85.12,85.12,84.01,84.01,84.01,84.01,81.8,80.7,80.7,80.7,81.8,81.8,61.43,62.77,62.77,61.43,61.43,62.77,61.43,61.43,61.43,61.43,61.43,61.43,60.09,60.09,58.76,58.76,58.76,58.76,58.76,58.76,55.42,57.55,58.62,57.55,57.55,58.62,58.62,57.55,57.55,57.55,57.55,57.55,57.55,56.49,56.49,55.42,55.42,54.36,55.42,55.42,63.64,66.53,67.49,66.53,66.53,67.49,67.49,66.53,66.53,66.53,66.53,66.53,66.53,65.57,64.6,63.64,63.64,63.64,64.6,64.6,43.81,45.85,46.86,45.85,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,45.85,45.85,45.85,44.83,44.83,44.83,44.83,44.83,29.9,30.8,30.8,30.8,30.8,30.8,30.8,30.8,29.9,29.9,29.9,29.9,29.9,29.9,28.99,28.99,28.99,28.99,28.99,28.99,4.4
61.91,59.69,55.27,53.06,53.06,54.17,55.27,55.27,55.27,55.27,54.17,55.27,55.27,56.38,56.38,56.38,57.48,57.48,57.48,57.48,42.73,41.4,40.06,38.73,38.73,38.73,40.06,40.06,40.06,40.06,40.06,40.06,40.06,41.4,41.4,40.06,41.4,41.4,41.4,41.4,41.57,41.57,36.24,36.24,36.24,37.3,37.3,37.3,37.3,38.37,37.3,38.37,38.37,38.37,38.37,38.37,39.43,39.43,39.43,39.43,46.28,46.28,40.5,40.5,41.46,42.42,42.42,42.42,42.42,43.39,42.42,43.39,43.39,44.35,44.35,43.39,44.35,44.35,44.35,45.32,33.62,33.62,29.55,28.53,29.55,29.55,30.56,30.56,30.56,30.56,30.56,30.56,30.56,31.58,31.58,31.58,31.58,31.58,31.58,32.6,19.93,20.84,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.93,19.03,19.03,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,6.5
170.24,173.56,172.45,165.82,163.61,163.61,172.45,174.66,173.56,170.24,174.66,175.77,174.66,173.56,174.66,175.77,174.66,173.56,175.77,175.77,117.52,121.53,121.53,117.52,116.18,114.85,121.53,122.86,122.86,120.19,124.2,124.2,124.2,122.86,124.2,124.2,124.2,124.2,125.53,125.53,156.67,120.44,108.71,110.84,109.78,110.84,118.3,118.3,118.3,118.3,120.44,120.44,118.3,119.37,119.37,119.37,120.44,119.37,120.44,120.44,178.38,137.88,125.35,127.27,127.27,128.24,135.95,135.95,135.95,134.99,137.88,137.88,135.95,136.92,137.88,136.92,137.88,137.88,137.88,138.84,124.29,95.77,87.62,89.65,88.64,89.65,94.75,95.77,95.77,94.75,96.79,96.79,95.77,95.77,96.79,95.77,96.79,96.79,96.79,96.79,77.91,61.61,57.08,57.08,57.08,57.08,60.7,59.79,59.79,59.79,60.7,60.7,59.79,60.7,60.7,60.7,60.7,60.7,60.7,60.7,3.3
265.31,261.99,263.1,263.1,261.99,263.1,264.2,265.31,266.41,267.52,268.62,269.73,270.83,271.94,275.26,277.47,279.68,277.47,277.47,278.57,198.98,196.31,197.65,197.65,197.65,197.65,198.98,198.98,200.32,200.32,201.65,201.65,202.99,202.99,205.66,206.99,208.33,206.99,206.99,208.33,169.46,169.46,171.59,170.53,170.53,171.59,172.66,173.73,174.79,175.86,175.86,176.92,177.99,179.05,181.19,182.25,184.38,183.32,183.32,183.32,207.3,206.34,209.23,208.27,208.27,210.19,211.16,212.12,213.09,215.02,215.02,215.98,216.94,218.87,220.8,222.73,224.66,223.69,222.73,223.69,133.46,133.46,135.5,134.48,135.5,135.5,136.52,137.54,138.56,139.58,139.58,139.58,140.59,141.61,143.65,144.67,145.69,144.67,144.67,144.67,97.84,96.94,97.84,96.94,96.94,96.94,97.84,96.94,97.84,97.84,98.75,98.75,98.75,99.66,100.56,100.56,101.47,100.56,101.47,101.47,4.8
165.82,164.71,161.4,161.4,160.29,159.18,160.29,160.29,159.18,159.18,159.18,159.18,159.18,158.08,156.97,155.87,155.87,154.76,154.76,153.66,118.85,118.85,117.52,117.52,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,114.85,113.51,113.51,113.51,113.51,112.18,107.65,107.65,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,105.51,105.51,105.51,104.45,104.45,104.45,103.38,103.38,127.27,127.27,126.31,125.35,125.35,125.35,126.31,126.31,126.31,125.35,126.31,126.31,125.35,124.38,124.38,123.42,123.42,123.42,122.45,122.45,84.56,84.56,85.58,84.56,84.56,84.56,85.58,85.58,85.58,85.58,85.58,85.58,84.56,84.56,84.56,83.54,83.54,83.54,83.54,82.52,56.17,56.17,57.08,57.08,57.08,57.08,57.08,57.08,57.08,56.17,57.08,56.17,56.17,56.17,56.17,55.26,55.26,55.26,55.26,54.36,6.6
