violet 1,violet 2,violet 3,violet 4,violet 5,violet 6,violet 7,violet 8,violet 9,violet 10,violet 11,violet 12,violet 13,violet 14,violet 15,violet 16,violet 17,violet 18,violet 19,violet 20,blue 1,blue 2,blue 3,blue 4,blue 5,blue 6,blue 7,blue 8,blue 9,blue 10,blue 11,blue 12,blue 13,blue 14,blue 15,blue 16,blue 17,blue 18,blue 19,blue 20,green 1,green 2,green 3,green 4,green 5,green 6,green 7,green 8,green 9,green 10,green 11,green 12,green 13,green 14,green 15,green 16,green 17,green 18,green 19,green 20,yellow 1,yellow 2,yellow 3,yellow 4,yellow 5,yellow 6,yellow 7,yellow 8,yellow 9,yellow 10,yellow 11,yellow 12,yellow 13,yellow 14,yellow 15,yellow 16,yellow 17,yellow 18,yellow 19,yellow 20,orange 1,orange 2,orange 3,orange 4,orange 5,orange 6,orange 7,orange 8,orange 9,orange 10,orange 11,orange 12,orange 13,orange 14,orange 15,orange 16,orange 17,orange 18,orange 19,orange 20,red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
1088.02,1076.53,1077.68,1027.13,1085.72,1077.68,1129.38,1132.83,1116.74,1104.1,1094.91,1085.72,1119.04,1143.17,1077.68,1192.57,1144.32,1176.49,937.51,1135.13,64.8,66.92,91.36,79.67,91.36,92.42,79.67,98.79,99.86,99.86,97.73,98.79,100.92,104.11,92.42,106.23,107.29,95.61,106.23,107.29,31.65,32.44,33.24,31.65,34.03,34.03,35.61,36.4,35.61,34.82,35.61,35.61,36.4,36.4,33.24,37.98,37.19,37.98,29.28,36.4,29.93,29.93,30.73,29.93,32.35,32.35,33.16,33.97,33.16,33.16,33.16,33.16,33.97,34.78,31.54,35.59,34.78,35.59,27.5,34.78,76.19,75.32,93.71,84.95,92.83,92.83,83.2,98.09,98.96,98.09,95.46,94.58,96.34,101.59,92.83,101.59,102.47,95.46,101.59,103.34,65.36,67.62,68.75,66.49,72.13,72.13,75.51,76.63,76.63,75.51,75.51,76.63,77.76,81.14,71,80.02,78.89,80.02,59.73,80.02
1228.19,1004.15,1121.34,1274.14,1266.1,1261.51,1210.95,1170.74,1137.42,1125.93,1108.7,1022.53,1092.62,1074.23,1053.55,1051.25,1044.36,962.79,937.51,943.26,89.23,82.86,89.23,93.48,100.92,100.92,99.86,98.79,98.79,97.73,96.67,97.73,82.86,95.61,96.67,96.67,95.61,96.67,95.61,93.48,30.86,26.91,30.07,34.03,33.24,34.03,33.24,32.44,31.65,31.65,31.65,29.28,31.65,30.86,30.86,30.86,30.86,28.49,28.49,28.49,31.54,28.31,30.73,34.78,33.97,34.78,33.97,33.16,32.35,32.35,32.35,29.12,31.54,31.54,30.73,30.73,30.73,29.12,29.12,29.12,104.22,88.45,94.58,100.72,108.6,106.85,104.22,101.59,100.72,98.09,96.34,97.21,86.7,95.46,94.58,94.58,92.83,91.08,88.45,87.58,74.38,67.62,73.25,81.14,80.02,81.14,80.02,78.89,77.76,77.76,77.76,69.87,76.63,76.63,75.51,75.51,75.51,75.51,75.51,74.38
854.79,849.05,860.54,715.77,703.13,739.9,753.69,754.84,773.22,765.18,778.96,788.15,789.3,795.05,828.37,832.96,837.56,827.22,857.09,874.32,70.11,75.42,77.55,75.42,70.11,74.36,76.49,77.55,79.67,79.67,81.8,83.92,82.86,83.92,88.17,88.17,86.05,87.11,89.23,91.36,22.95,22.95,23.74,20.57,20.57,21.37,22.16,22.16,22.95,22.95,22.95,22.95,23.74,23.74,24.53,24.53,24.53,24.53,25.32,26.11,23.46,24.26,25.07,21.03,21.84,23.46,23.46,23.46,24.26,24.26,24.26,25.07,25.07,25.07,25.88,25.88,25.88,25.88,26.69,27.5,76.19,77.07,77.94,73.57,64.81,69.19,70.94,70.94,72.69,72.69,72.69,75.32,74.44,75.32,79.7,79.7,77.94,78.82,79.7,82.32,64.24,66.49,69.87,58.6,63.11,66.49,67.62,68.75,69.87,71,72.13,72.13,72.13,73.25,74.38,74.38,73.25,74.38,76.63,77.76
365.35,352.72,341.23,304.46,311.36,322.84,325.14,332.04,344.67,334.33,332.04,340.08,342.38,338.93,323.99,322.84,319.4,320.55,317.1,317.1,31.87,33.99,33.99,31.87,31.87,32.93,33.99,33.99,37.18,36.12,36.12,37.18,37.18,38.24,37.18,37.18,37.18,37.18,37.18,37.18,10.29,10.29,10.29,9.5,9.5,10.29,10.29,10.29,11.08,11.08,11.08,11.08,11.08,11.08,11.08,10.29,10.29,11.08,10.29,10.29,10.51,10.51,10.51,9.71,9.71,9.71,10.51,10.51,10.51,10.51,10.51,10.51,11.32,10.51,10.51,10.51,10.51,10.51,10.51,10.51,34.16,34.16,34.16,30.65,30.65,31.53,31.53,32.4,34.16,33.28,33.28,33.28,33.28,34.16,32.4,32.4,32.4,32.4,32.4,32.4,28.17,28.17,28.17,25.92,27.05,28.17,28.17,29.3,29.3,29.3,29.3,30.43,30.43,30.43,29.3,33.81,29.3,29.3,29.3,29.3
734.15,749.09,687.05,722.67,727.26,716.92,719.22,731.86,718.07,711.18,710.03,705.43,696.24,696.24,691.65,667.52,685.9,682.45,675.56,676.71,72.24,75.42,79.67,80.73,79.67,80.73,81.8,82.86,83.92,82.86,82.86,82.86,83.92,83.92,82.86,83.92,82.86,83.92,83.92,83.92,21.37,22.95,20.57,22.95,22.95,22.95,22.95,23.74,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.16,22.95,22.95,22.95,22.95,22.65,24.26,21.84,23.46,24.26,24.26,24.26,25.07,24.26,24.26,24.26,24.26,24.26,24.26,24.26,23.46,24.26,24.26,23.46,24.26,72.69,73.57,75.32,74.44,73.57,73.57,74.44,74.44,74.44,73.57,73.57,72.69,72.69,72.69,71.81,71.81,71.81,71.81,71.81,70.94,64.24,67.62,59.73,67.62,68.75,67.62,68.75,69.87,68.75,68.75,69.87,69.87,68.75,69.87,69.87,66.49,69.87,68.75,68.75,68.75
297.57,261.95,269.99,263.1,279.19,274.59,276.89,272.29,266.55,268.85,264.25,258.51,265.4,261.95,261.95,261.95,257.36,258.51,259.65,259.65,28.68,28.68,28.68,29.74,30.81,31.87,31.87,31.87,28.68,31.87,31.87,31.87,31.87,32.93,31.87,31.87,32.93,32.93,32.93,32.93,10.29,9.5,9.5,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,9.71,8.9,8.9,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,28.9,27.15,27.15,27.15,28.03,29.78,28.03,28.9,26.27,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,22.54,21.41,22.54,22.54,24.79,24.79,24.79,24.79,23.67,24.79,24.79,23.67,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
738.75,724.96,660.62,390.63,534.24,685.9,827.22,863.98,1107.55,924.87,893.85,1106.4,1109.85,1084.57,1078.83,1045.51,915.68,913.39,985.77,874.32,62.68,61.61,65.86,50.99,47.8,58.43,76.49,79.67,97.73,99.86,81.8,96.67,106.23,108.35,106.23,106.23,92.42,91.36,96.67,96.67,22.16,22.16,20.57,14.24,17.41,22.16,26.11,26.91,33.24,28.49,27.7,33.24,33.24,33.24,33.24,32.44,29.28,28.49,30.86,27.7,21.84,21.84,21.03,12.94,16.98,21.03,25.07,25.88,32.35,28.31,27.5,33.16,33.16,32.35,32.35,31.54,28.31,28.31,30.73,27.5,69.19,65.68,67.44,49.04,45.54,56.05,76.19,78.82,98.96,99.84,79.7,95.46,105.09,107.72,104.22,103.34,89.33,87.58,92.83,91.96,52.97,54.09,56.35,32.68,41.7,51.84,61.98,65.36,82.27,71,71,86.78,86.78,84.52,85.65,83.4,73.25,75.51,81.14,69.87
338.93,299.87,292.97,289.53,290.67,291.82,290.67,288.38,286.08,284.93,288.38,292.97,290.67,284.93,282.63,287.23,292.97,295.27,292.97,292.97,31.87,29.74,30.81,31.87,31.87,31.87,32.93,32.93,32.93,33.99,33.99,33.99,33.99,33.99,33.99,35.06,35.06,35.06,36.12,36.12,11.08,10.29,10.29,10.29,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.32,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,11.32,11.32,11.32,10.51,11.32,11.32,11.32,11.32,11.32,33.28,28.9,29.78,30.65,29.78,29.78,29.78,29.78,29.78,30.65,30.65,30.65,30.65,29.78,29.78,30.65,30.65,30.65,30.65,30.65,29.3,27.05,27.05,27.05,27.05,28.17,28.17,28.17,28.17,28.17,28.17,29.3,29.3,28.17,28.17,29.3,29.3,30.43,29.3,30.43
818.03,805.39,778.96,770.92,764.03,752.54,739.9,729.56,727.26,726.11,719.22,711.18,712.33,707.73,707.73,703.13,700.84,697.39,693.94,697.39,64.8,65.86,66.92,66.92,66.92,66.92,67.99,66.92,67.99,67.99,67.99,67.99,67.99,67.99,67.99,69.05,69.05,69.05,69.05,69.05,25.32,25.32,25.32,25.32,25.32,25.32,25.32,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,22.65,23.46,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,21.84,21.84,21.84,22.65,21.84,21.84,21.84,21.84,21.84,66.56,66.56,64.81,64.81,64.81,63.93,63.06,63.06,62.18,63.06,62.18,62.18,62.18,61.3,61.3,61.3,61.3,61.3,61.3,61.3,48.46,48.46,48.46,48.46,49.59,49.59,48.46,48.46,49.59,49.59,49.59,48.46,49.59,49.59,49.59,49.59,49.59,49.59,49.59,49.59
387.18,482.54,412.46,957.04,1101.81,785.86,738.75,712.33,696.24,684.75,626.16,603.18,599.73,604.33,596.29,593.99,597.43,589.39,590.54,584.8,32.93,35.06,39.31,57.36,75.42,61.61,65.86,62.68,62.68,61.61,58.43,57.36,57.36,57.36,57.36,58.43,58.43,58.43,58.43,58.43,11.87,14.24,13.45,26.91,30.07,22.16,21.37,21.37,20.57,20.57,18.99,18.99,18.99,18.99,18.2,18.99,18.99,18.99,18.99,18.99,10.51,12.94,12.13,25.88,29.12,21.03,20.22,20.22,19.41,19.41,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,35.03,36.78,39.41,58.68,75.32,64.81,66.56,62.18,61.3,60.43,56.93,54.3,55.17,54.3,54.3,55.17,54.3,54.3,54.3,54.3,24.79,31.56,29.3,60.86,68.75,47.33,47.33,46.21,46.21,45.08,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
