red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
65.36,67.62,68.75,66.49,72.13,72.13,75.51,76.63,76.63,75.51,75.51,76.63,77.76,81.14,71,80.02,78.89,80.02,59.73,80.02
74.38,67.62,73.25,81.14,80.02,81.14,80.02,78.89,77.76,77.76,77.76,69.87,76.63,76.63,75.51,75.51,75.51,75.51,75.51,74.38
64.24,66.49,69.87,58.6,63.11,66.49,67.62,68.75,69.87,71,72.13,72.13,72.13,73.25,74.38,74.38,73.25,74.38,76.63,77.76
28.17,28.17,28.17,25.92,27.05,28.17,28.17,29.3,29.3,29.3,29.3,30.43,30.43,30.43,29.3,33.81,29.3,29.3,29.3,29.3
64.24,67.62,59.73,67.62,68.75,67.62,68.75,69.87,68.75,68.75,69.87,69.87,68.75,69.87,69.87,66.49,69.87,68.75,68.75,68.75
22.54,21.41,22.54,22.54,24.79,24.79,24.79,24.79,23.67,24.79,24.79,23.67,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
52.97,54.09,56.35,32.68,41.7,51.84,61.98,65.36,82.27,71,71,86.78,86.78,84.52,85.65,83.4,73.25,75.51,81.14,69.87
29.3,27.05,27.05,27.05,27.05,28.17,28.17,28.17,28.17,28.17,28.17,29.3,29.3,28.17,28.17,29.3,29.3,30.43,29.3,30.43
48.46,48.46,48.46,48.46,49.59,49.59,48.46,48.46,49.59,49.59,49.59,48.46,49.59,49.59,49.59,49.59,49.59,49.59,49.59,49.59
24.79,31.56,29.3,60.86,68.75,47.33,47.33,46.21,46.21,45.08,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
50.71,51.84,51.84,52.97,52.97,54.09,55.22,55.22,54.09,56.35,56.35,55.22,56.35,56.35,55.22,56.35,55.22,55.22,56.35,56.35
61.98,66.49,69.87,71,71,72.13,73.25,72.13,72.13,72.13,72.13,72.13,72.13,71,72.13,71,72.13,72.13,72.13,72.13
25.92,29.3,30.43,30.43,29.3,28.17,27.05,27.05,27.05,27.05,27.05,27.05,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92
46.21,48.46,49.59,49.59,49.59,49.59,49.59,49.59,50.71,50.71,50.71,51.84,50.71,51.84,51.84,51.84,51.84,51.84,51.84,51.84
155.52,157.78,161.16,162.28,164.54,169.05,169.05,170.17,170.17,171.3,171.3,172.43,172.43,171.3,173.55,174.68,175.81,176.94,178.06,179.19
69.87,69.87,71,73.25,74.38,73.25,72.13,72.13,72.13,72.13,71,71,71,69.87,68.75,68.75,71,71,71,71
116.08,117.21,120.59,121.71,122.84,123.97,123.97,122.84,122.84,128.48,131.86,135.24,135.24,135.24,134.11,139.74,142,143.13,140.87,142
50.71,64.24,69.87,72.13,72.13,75.51,74.38,74.38,74.38,74.38,73.25,74.38,74.38,74.38,74.38,75.51,75.51,75.51,76.63,75.51
52.97,65.36,63.11,60.86,59.73,58.6,58.6,58.6,58.6,58.6,56.35,56.35,57.48,57.48,57.48,57.48,57.48,57.48,58.6,58.6
33.81,33.81,31.56,45.08,43.95,41.7,40.57,40.57,39.44,40.57,40.57,40.57,39.44,40.57,41.7,40.57,41.7,40.57,38.32,40.57
23.67,24.79,25.92,24.79,25.92,25.92,24.79,25.92,29.3,29.3,28.17,28.17,28.17,28.17,28.17,29.3,27.05,28.17,28.17,27.05
25.92,25.92,25.92,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
67.62,65.36,66.49,68.75,52.97,57.48,57.48,58.6,58.6,56.35,49.59,56.35,54.09,55.22,55.22,55.22,54.09,54.09,55.22,54.09
39.44,40.57,40.57,40.57,41.7,41.7,41.7,42.83,42.83,42.83,43.95,43.95,43.95,43.95,43.95,43.95,45.08,45.08,43.95,45.08
58.6,41.7,59.73,60.86,59.73,60.86,60.86,61.98,60.86,61.98,61.98,61.98,63.11,63.11,61.98,64.24,64.24,63.11,61.98,63.11
21.41,22.54,21.41,21.41,21.41,21.41,21.41,21.41,20.29,20.29,20.29,20.29,19.16,19.16,20.29,20.29,20.29,19.16,19.16,19.16
39.44,42.83,47.33,52.97,54.09,56.35,57.48,57.48,56.35,57.48,56.35,54.09,57.48,57.48,56.35,54.09,57.48,58.6,55.22,57.48
222.01,227.65,231.03,233.28,231.03,234.41,234.41,235.54,235.54,234.41,234.41,235.54,234.41,234.41,234.41,233.28,233.28,235.54,235.54,235.54
25.92,27.05,25.92,25.92,25.92,24.79,23.67,23.67,22.54,22.54,22.54,22.54,22.54,22.54,22.54,23.67,23.67,23.67,25.92,24.79
108.19,123.97,123.97,128.48,126.22,128.48,128.48,127.35,126.22,126.22,123.97,122.84,122.84,125.09,123.97,123.97,123.97,122.84,120.59,120.59
21.41,21.41,21.41,21.41,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,21.41,21.41,20.29,20.29,19.16,19.16
87.9,90.16,92.41,96.92,95.79,96.92,99.17,99.17,101.43,102.55,101.43,98.05,96.92,98.05,98.05,96.92,96.92,98.05,98.05,99.17
30.43,30.43,31.56,30.43,30.43,29.3,29.3,29.3,29.3,29.3,29.3,27.05,29.3,29.3,28.17,29.3,29.3,28.17,28.17,28.17
50.71,52.97,47.33,49.59,55.22,61.98,66.49,66.49,66.49,66.49,67.62,66.49,67.62,67.62,67.62,67.62,67.62,66.49,67.62,67.62
18.03,19.16,20.29,20.29,20.29,20.29,20.29,19.16,20.29,18.03,19.16,21.41,21.41,20.29,20.29,20.29,21.41,20.29,20.29,21.41
57.48,58.6,59.73,60.86,67.62,69.87,72.13,73.25,73.25,72.13,71,73.25,73.25,73.25,73.25,74.38,74.38,74.38,74.38,74.38
33.81,33.81,33.81,34.94,33.81,31.56,33.81,33.81,31.56,33.81,34.94,30.43,34.94,33.81,33.81,33.81,33.81,33.81,33.81,31.56
24.79,28.17,27.05,27.05,27.05,27.05,27.05,28.17,25.92,28.17,29.3,29.3,28.17,28.17,29.3,28.17,28.17,29.3,29.3,29.3
29.3,28.17,29.3,29.3,30.43,30.43,29.3,29.3,29.3,30.43,30.43,30.43,30.43,30.43,30.43,30.43,31.56,31.56,30.43,30.43
46.21,46.21,47.33,47.33,47.33,47.33,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.46,47.33,47.33,48.46,47.33,47.33,47.33
45.08,58.6,58.6,50.71,60.86,69.87,63.11,55.22,54.09,55.22,55.22,56.35,55.22,55.22,71,68.75,64.24,69.87,72.13,65.36
71,74.38,76.63,76.63,76.63,76.63,76.63,77.76,78.89,77.76,77.76,78.89,78.89,78.89,80.02,80.02,78.89,81.14,80.02,81.14
25.92,27.05,27.05,27.05,28.17,28.17,28.17,28.17,28.17,28.17,27.05,29.3,29.3,29.3,29.3,30.43,29.3,29.3,29.3,28.17
38.32,45.08,45.08,45.08,46.21,46.21,46.21,47.33,47.33,46.21,46.21,47.33,46.21,46.21,47.33,47.33,46.21,47.33,47.33,46.21
51.84,52.97,52.97,52.97,54.09,54.09,54.09,54.09,54.09,55.22,55.22,55.22,55.22,55.22,55.22,55.22,55.22,56.35,56.35,56.35
65.36,73.25,75.51,74.38,74.38,74.38,74.38,73.25,71,71,69.87,73.25,68.75,71,69.87,68.75,69.87,69.87,71,72.13
31.56,31.56,31.56,31.56,32.68,32.68,32.68,32.68,31.56,32.68,31.56,32.68,31.56,31.56,31.56,31.56,31.56,31.56,32.68,31.56
71,81.14,81.14,83.4,83.4,82.27,82.27,83.4,84.52,84.52,84.52,84.52,85.65,83.4,85.65,85.65,84.52,86.78,86.78,85.65
54.09,48.46,54.09,43.95,49.59,50.71,50.71,49.59,49.59,49.59,48.46,48.46,49.59,48.46,48.46,49.59,48.46,48.46,49.59,49.59
50.71,51.84,54.09,91.29,90.16,84.52,82.27,81.14,80.02,80.02,78.89,77.76,77.76,76.63,76.63,75.51,75.51,74.38,74.38,74.38
23.67,25.92,24.79,24.79,23.67,23.67,24.79,25.92,25.92,24.79,23.67,23.67,23.67,23.67,24.79,24.79,24.79,22.54,25.92,25.92
27.05,28.17,28.17,28.17,28.17,28.17,27.05,27.05,28.17,28.17,28.17,28.17,29.3,29.3,30.43,30.43,30.43,30.43,31.56,30.43
13.52,14.65,15.78,16.9,16.9,18.03,18.03,21.41,20.29,19.16,19.16,19.16,19.16,19.16,19.16,19.16,18.03,18.03,18.03,18.03
10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,11.27,11.27,11.27,11.27
36.06,40.57,40.57,41.7,45.08,41.7,42.83,41.7,43.95,43.95,43.95,43.95,43.95,43.95,43.95,45.08,43.95,45.08,45.08,45.08
69.87,69.87,71,73.25,74.38,73.25,72.13,72.13,72.13,72.13,71,71,71,69.87,68.75,68.75,71,71,71,71
24.79,22.54,22.54,22.54,21.41,21.41,21.41,21.41,21.41,20.29,21.41,21.41,20.29,20.29,21.41,21.41,20.29,21.41,21.41,21.41
24.79,31.56,29.3,60.86,68.75,47.33,47.33,46.21,46.21,45.08,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83,42.83
29.3,27.05,27.05,25.92,25.92,25.92,25.92,24.79,24.79,24.79,24.79,25.92,24.79,24.79,25.92,25.92,24.79,25.92,24.79,25.92
18.03,18.03,19.16,19.16,19.16,19.16,20.29,20.29,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16,19.16
33.81,32.68,43.95,39.44,37.19,34.94,33.81,33.81,33.81,33.81,33.81,32.68,32.68,32.68,32.68,32.68,31.56,31.56,31.56,31.56
41.7,42.83,42.83,42.83,43.95,45.08,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21,46.21
15.78,15.78,15.78,15.78,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,15.78,16.9,16.9,15.78,15.78,15.78,15.78
